Vardas                  Pavarde                 ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    ND15    Egz.    
Vardas1                 Pavarde1                3       8       4       1       10      6       7       10      10      9       3       5       5       4       6       1       
Vardas2                 Pavarde2                5       5       8       9       8       8       4       3       3       6       2       10      6       7       10      8       
Vardas3                 Pavarde3                3       2       10      4       2       1       6       1       10      10      8       4       10      1       9       8       
Vardas4                 Pavarde4                6       7       6       8       8       5       7       10      4       10      4       6       3       4       1       10      
Vardas5                 Pavarde5                10      4       1       3       4       4       7       10      8       3       3       7       6       4       3       7       
Vardas6                 Pavarde6                2       8       8       7       7       2       4       3       6       2       1       4       5       9       8       2       
Vardas7                 Pavarde7                3       7       4       6       1       6       3       9       3       1       3       4       10      10      1       4       
Vardas8                 Pavarde8                2       10      2       6       6       7       6       10      1       7       10      10      10      3       9       9       
Vardas9                 Pavarde9                7       4       9       7       3       10      6       10      5       9       3       4       5       4       9       10      
Vardas10                Pavarde10               8       2       9       6       4       8       1       6       6       8       7       6       9       4       2       9       
Vardas11                Pavarde11               5       8       7       6       4       6       3       2       2       5       5       3       3       7       5       7       
Vardas12                Pavarde12               5       1       1       7       8       5       6       9       1       1       3       8       6       8       1       4       
Vardas13                Pavarde13               4       7       3       1       2       5       7       9       10      9       6       2       2       1       7       9       
Vardas14                Pavarde14               7       3       2       4       8       9       2       3       9       1       9       4       2       2       5       5       
Vardas15                Pavarde15               4       9       9       6       7       3       6       3       5       8       6       3       1       10      8       9       
Vardas16                Pavarde16               4       3       8       9       7       10      7       9       9       1       3       1       10      7       8       8       
Vardas17                Pavarde17               8       6       5       1       6       7       1       7       6       5       1       8       2       7       6       10      
Vardas18                Pavarde18               2       10      5       10      4       8       9       1       4       9       3       2       7       9       5       6       
Vardas19                Pavarde19               6       2       5       8       8       10      1       1       3       1       3       8       6       9       8       8       
Vardas20                Pavarde20               5       3       1       4       8       10      4       1       9       6       2       5       4       1       6       3       
Vardas21                Pavarde21               8       9       1       10      8       2       9       10      10      6       1       5       4       4       7       5       
Vardas22                Pavarde22               8       8       6       5       8       10      4       2       5       9       7       2       1       6       8       3       
Vardas23                Pavarde23               5       1       10      8       4       4       10      8       3       1       9       3       7       5       1       7       
Vardas24                Pavarde24               7       1       5       9       1       5       3       8       7       8       8       6       1       9       1       3       
Vardas25                Pavarde25               2       8       10      5       5       9       6       7       1       7       6       4       4       5       8       9       
Vardas26                Pavarde26               1       3       8       7       4       8       1       5       4       10      2       7       4       8       5       7       
Vardas27                Pavarde27               9       10      8       5       2       3       8       2       5       8       7       9       4       2       10      6       
Vardas28                Pavarde28               5       5       10      3       3       5       9       10      10      8       1       7       4       5       4       9       
Vardas29                Pavarde29               10      10      8       8       2       8       4       5       2       5       10      3       4       7       5       5       
Vardas30                Pavarde30               3       3       10      5       1       5       7       7       6       4       9       4       2       3       4       4       
Vardas31                Pavarde31               2       9       1       3       8       3       2       6       7       8       9       10      10      5       7       9       
Vardas32                Pavarde32               5       8       2       4       5       9       9       1       8       2       2       3       9       1       2       3       
Vardas33                Pavarde33               7       1       7       10      2       9       4       2       2       4       2       4       7       8       2       5       
Vardas34                Pavarde34               1       5       8       4       2       2       3       6       10      5       4       3       10      10      2       9       
Vardas35                Pavarde35               10      3       6       3       5       9       4       7       5       4       3       9       1       9       5       2       
Vardas36                Pavarde36               3       4       8       2       1       8       9       10      1       2       1       8       4       8       7       7       
Vardas37                Pavarde37               3       8       5       9       9       6       8       9       5       4       2       8       5       5       4       5       
Vardas38                Pavarde38               8       8       6       7       7       1       1       4       2       6       7       6       3       6       7       6       
Vardas39                Pavarde39               10      4       8       1       1       2       10      7       4       10      1       8       3       4       9       1       
Vardas40                Pavarde40               1       6       5       6       3       10      7       2       3       9       9       7       3       6       5       5       
Vardas41                Pavarde41               6       4       8       5       1       5       10      9       9       5       7       5       3       10      10      6       
Vardas42                Pavarde42               6       2       1       5       7       4       8       10      2       7       1       6       2       7       3       9       
Vardas43                Pavarde43               6       8       6       7       10      6       9       8       9       1       6       3       9       8       1       4       
Vardas44                Pavarde44               10      2       2       4       8       6       6       3       6       2       6       3       7       6       10      7       
Vardas45                Pavarde45               6       7       4       1       9       4       1       2       9       2       4       10      2       5       2       5       
Vardas46                Pavarde46               3       1       4       1       2       4       6       2       3       4       1       6       4       5       10      7       
Vardas47                Pavarde47               2       6       7       5       8       5       7       9       8       8       3       7       8       2       1       2       
Vardas48                Pavarde48               1       2       1       7       6       4       5       2       10      9       10      4       9       9       4       9       
Vardas49                Pavarde49               5       9       4       4       1       8       6       6       10      2       5       6       4       4       7       2       
Vardas50                Pavarde50               2       10      3       5       6       10      9       10      8       7       5       4       10      2       10      9       
Vardas51                Pavarde51               9       1       10      5       1       10      6       1       2       6       8       1       3       5       6       7       
Vardas52                Pavarde52               10      6       4       10      3       6       6       3       4       4       5       10      8       1       5       8       
Vardas53                Pavarde53               7       9       4       6       10      9       3       9       2       7       2       1       3       3       9       3       
Vardas54                Pavarde54               8       4       8       10      4       8       1       4       1       8       1       6       7       1       5       5       
Vardas55                Pavarde55               8       5       8       3       5       8       10      4       9       8       9       9       8       3       9       2       
Vardas56                Pavarde56               2       2       3       4       3       9       9       4       8       5       7       7       10      4       3       1       
Vardas57                Pavarde57               9       2       5       5       1       10      1       10      9       2       6       9       3       10      6       1       
Vardas58                Pavarde58               5       9       10      4       5       10      2       8       10      1       8       1       7       7       10      5       
Vardas59                Pavarde59               5       3       7       10      1       1       1       6       7       9       7       5       9       8       8       3       
Vardas60                Pavarde60               6       10      3       10      6       4       9       2       5       2       10      10      9       1       7       8       
Vardas61                Pavarde61               7       2       2       4       8       10      4       4       8       3       10      7       6       10      9       9       
Vardas62                Pavarde62               7       5       5       1       3       5       2       10      2       9       1       4       5       10      9       9       
Vardas63                Pavarde63               8       7       4       8       1       1       5       4       5       4       1       3       4       8       1       6       
Vardas64                Pavarde64               8       9       3       3       8       2       3       4       10      3       9       6       4       1       6       1       
Vardas65                Pavarde65               2       5       5       10      5       9       10      1       3       4       4       1       2       1       1       9       
Vardas66                Pavarde66               9       7       8       2       4       7       8       1       8       10      10      3       3       5       3       5       
Vardas67                Pavarde67               2       1       3       10      9       3       9       10      2       3       7       1       6       2       9       1       
Vardas68                Pavarde68               4       7       5       6       2       1       5       6       9       10      10      3       1       4       8       3       
Vardas69                Pavarde69               1       8       2       7       9       1       10      10      3       9       8       5       9       7       9       7       
Vardas70                Pavarde70               4       2       4       10      5       1       10      5       10      3       9       4       1       1       7       7       
Vardas71                Pavarde71               10      6       2       1       6       10      5       1       7       2       8       1       10      9       7       6       
Vardas72                Pavarde72               4       7       2       1       10      9       3       4       6       2       2       4       9       8       6       8       
Vardas73                Pavarde73               2       5       1       9       5       4       7       5       3       2       7       9       6       7       5       8       
Vardas74                Pavarde74               8       6       3       1       9       2       5       9       10      7       1       8       6       6       5       10      
Vardas75                Pavarde75               10      9       6       9       3       4       10      4       8       4       8       8       4       8       5       5       
Vardas76                Pavarde76               1       3       6       4       9       8       2       5       5       10      2       6       9       6       6       5       
Vardas77                Pavarde77               1       3       1       5       5       1       1       8       1       9       7       1       8       8       1       1       
Vardas78                Pavarde78               5       9       7       2       6       10      3       4       3       4       1       6       7       8       7       6       
Vardas79                Pavarde79               9       9       10      10      4       2       7       2       7       4       3       10      1       9       7       9       
Vardas80                Pavarde80               4       9       9       10      7       7       9       6       3       4       2       7       3       9       8       9       
Vardas81                Pavarde81               1       7       1       6       5       1       6       7       9       1       6       5       5       4       5       2       
Vardas82                Pavarde82               10      4       2       1       8       1       2       6       8       4       7       8       4       1       9       5       
Vardas83                Pavarde83               9       1       10      4       10      2       4       2       6       2       5       9       6       10      8       6       
Vardas84                Pavarde84               9       1       3       2       2       7       8       5       5       3       4       9       5       3       1       10      
Vardas85                Pavarde85               5       10      8       8       10      6       5       6       10      8       2       2       1       3       8       5       
Vardas86                Pavarde86               6       10      2       2       6       2       10      7       1       8       5       10      7       10      8       6       
Vardas87                Pavarde87               8       8       2       8       5       2       1       7       2       6       6       8       5       10      8       3       
Vardas88                Pavarde88               7       3       2       2       8       4       7       6       6       7       4       10      1       4       6       2       
Vardas89                Pavarde89               5       1       10      7       4       7       1       5       3       1       7       10      3       10      1       3       
Vardas90                Pavarde90               8       1       3       5       1       10      9       4       3       8       6       1       3       6       1       8       
Vardas91                Pavarde91               2       3       3       9       9       3       7       8       6       7       4       10      6       5       1       2       
Vardas92                Pavarde92               7       9       4       4       5       3       1       8       8       6       5       3       10      7       9       6       
Vardas93                Pavarde93               7       7       7       8       4       5       3       3       10      4       1       2       8       4       6       7       
Vardas94                Pavarde94               1       9       7       10      1       1       1       9       6       4       5       8       1       1       4       5       
Vardas95                Pavarde95               5       8       6       5       5       10      5       3       2       10      10      9       9       2       1       3       
Vardas96                Pavarde96               3       2       4       5       7       8       9       6       1       1       8       3       7       5       2       4       
Vardas97                Pavarde97               9       9       6       6       3       8       7       6       3       3       7       7       2       9       10      5       
Vardas98                Pavarde98               8       7       1       9       2       5       3       8       4       4       10      3       3       2       2       2       
